index,ames,smiles
ext_132,0,CC(=C)CC(C)(C)C
ext_134,1,COc1cc(ccc1N/N=C\1/C(=O)c2c(N)cc(cc2C=C1S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(N/N=C\2/C(=O)c3c(N)cc(cc3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])c(OC)c1
ext_135,0,CCCCC(CC)CNCC(CC)CCCC
ext_136,0,CCCCC(CC)CN
ext_139,0,OC(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
ext_140,0,OC(C#N)c1ccccc1
ext_141,0,CC1CCC(CC1)C(C)C
ext_143,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
ext_144,0,CCCCCCCCCCCCC1CO1
ext_145,0,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
ext_146,0,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
ext_147,0,ClC1C=CC2C1C1(Cl)C(=C(Cl)C2(Cl)C1(Cl)Cl)Cl
ext_148,0,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
ext_149,1,C1CCC2OC2C1
ext_151,0,CCC(C)c1ccccc1O
ext_152,0,CCCCC(CC)COCCC#N
ext_155,1,CC1CO1
ext_160,0,CCCCC(CC)COCCCN
ext_162,0,C1C=CC2C3CC(C=C3)C12
ext_163,0,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)C31CC[C@]2(O)[C@@H](O)C3
ext_165,0,CCCCC(CC)C=O
ext_169,1,OCC(Cl)CCl
ext_170,0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
ext_174,1,Clc1c(Cl)c(=O)c2=c(c(=O)ccc2=O)c1=O
ext_176,0,CCCCCCCCCCCCOCC1CO1
ext_177,1,O=C(OCC1CO1)c1cccc(c1)C(=O)OCC1CO1
ext_178,0,CCCCC1C(=O)N(N(C1=O)c1ccc(O)cc1)c1ccccc1
ext_180,1,CCc1cccc(CC)c1N(COC)C(=O)CCl
ext_181,0,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
ext_184,1,C1OC1COc1cccc(OCC2CO2)c1
ext_185,0,CCO[Si](OCC)(OCC)C=C
ext_190,1,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
ext_191,1,OC(=O)CCCl
ext_193,0,CCOC(=O)CC(=O)OCC
ext_194,0,[O-]CC(=O)Oc1ccc(Cl)cc1Cl
ext_195,0,[O-]C(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F
ext_201,0,CC(C)(C)c1ccc(cc1)C(=O)O
ext_202,0,CC(O)CC(C)(C)O
ext_203,0,CC#C
ext_204,0,NC(Cc1ccc(O)c(c1)[N+](=O)[O-])C(=O)O
ext_205,1,CC(C)C#N
ext_206,1,OCC(Br)CBr
ext_208,0,[O-]S(=O)(=O)c1ccc(C=C)cc1
ext_210,1,c1ccc2-c3cccc4cccc(-c2c1)c34
ext_212,0,CCC1NC(=O)c2cc(c(Cl)cc2N1)S(=O)(=O)N
ext_215,0,C(=C\C(=O)O)/C(=O)O
ext_216,0,CC(CCN(C)C)N(C)C
ext_217,1,O[C@H]1CC(=O)c2c(O)ccc3-c4ccc(O)c5C(=O)CC[C@@](O)([C@H]1c23)c45
ext_220,0,FC(F)(F)c1ccc(Cl)c(Cl)c1
ext_221,0,OC(=O)CCSCCC(=O)O
ext_223,0,CCC(C)C(C)CO
ext_225,0,CC(=O)OCC(COC(=O)C)OC(=O)C
ext_228,0,OCC1OC(CC1O)n1cc(I)c(=O)[nH]c1=O
ext_230,0,CCCCCCCCCC/C=C/C1CC(=O)OC1=O
ext_231,0,CCCCCCCCC1CO1
ext_232,0,CC1(C)[C@H]2CC[C@](C)(C2)C1=O
ext_234,0,Cc1cc2nc3-c(nc(=O)[nH]c3=O)n(CC(O)C(O)C(O)CO)c2cc1C
ext_235,0,CC(O)CCC(=O)c1cocc1
ext_238,0,C[Si](C)(C)CC=C
ext_240,0,CCCCCCCCCCC1CO1
ext_242,1,OCC(O)CCl
ext_243,0,CCO[Si](OCC)(OCC)OCC
ext_244,0,CC/C(=C(\c1ccccc1)/c1ccc(OCCN(C)C)cc1)/c1ccccc1
ext_247,0,[cH-]1cccc1
ext_249,0,Nc1nc(=O)n(cn1)C1OC(CO)C(O)C1O
ext_251,1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(cc12)N1CCNCC1
ext_252,0,[O-]C(=O)CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
ext_253,0,CCC1CCC(CCC(=O)[O-])C1
ext_257,0,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
ext_261,0,CCN1CCN(C(=O)N[C@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)[O-])c2ccccc2)C(=O)C1=O
ext_262,1,C/C=C\C=C\C=O
ext_263,1,CC(=C)C(=O)OCC1CO1
ext_265,1,CC(O)CN(C)c1ccc(NN)nn1
ext_266,1,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1
ext_267,1,CN(C)C(=S)[S-]
ext_268,1,CC(C)NCC1CCc2cc(CO)c(cc2N1)[N+](=O)[O-]
ext_270,1,CN(C)c1ccc(cc1)N=NS(=O)(=O)[O-]
ext_271,0,CCN(C)C(=O)Oc1ccc2N(C)C3N(C)CCC3(C)c2c1
ext_272,0,OCC(O)C(O)C(O)C(O)CO
ext_273,0,N[C@@H](CCC(=O)[O-])C(=O)O
ext_274,0,N[C@@H](CCC(=O)[O-])C(=O)[O-]
ext_279,0,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
ext_280,1,CC(=O)Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
ext_282,1,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)C=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]1N=C(N)N
ext_283,1,CC1OC1C
ext_284,0,CCCC(O)C(CC)CO
ext_285,1,Cc1ccc(cc1)S(=O)(=O)Oc1ccc(cc1)N=Nc1ccc(cc1C)c1ccc(N/N=C\2/C(=O)C=Cc3cc(cc(c23)S(=O)(=O)[O-])S(=O)(=O)[O-])c(C)c1
ext_287,0,[O-]C(=O)c1ccccc1
ext_288,0,COc1cc(ccc1N/N=C/1\C(=O)c2c(O)cc(cc2C=C1S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(N/N=C/2\C(=O)c3c(O)cc(cc3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])c(OC)c1
ext_289,0,O=C[CH-]C=O
ext_291,0,ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C35)C2(Cl)Cl
ext_292,0,CC(=O)C(N=Nc1ccc(cc1Cl)c1ccc(N=NC(C(=O)C)C(=O)Nc2ccccc2)c(Cl)c1)C(=O)Nc1ccccc1
ext_293,0,CN1CC[C@]2(C)[C@H]1N(C)c1ccc(O)cc21
ext_296,1,COc1cc2O[C@H]3OC=C[C@H]3c2c2oc3cccc(O)c3c(=O)c12
ext_297,1,CCOc1ccc(cc1)N=Nc1ccc(cc1C)c1ccc(N/N=C/2\C(=O)C=Cc3cc(cc(c23)S(=O)(=O)[O-])S(=O)(=O)[O-])c(C)c1
ext_298,0,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
ext_299,1,C=CC1CO1
ext_301,0,CC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCl
ext_303,0,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
ext_304,1,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
ext_305,0,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(c1)S(=O)(=O)[O-]
ext_307,0,CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1
ext_308,0,CCCCCCCCCCCCCCC1CO1
ext_309,1,CN(C)CC(=C)C(=O)c1ccccc1
ext_310,0,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)/C(=C(/N)\O)/C1=O
ext_311,1,CC(C)(C)c1ccc(OCC2CO2)cc1
ext_312,1,CCC(C)ON=O
ext_313,0,CC=C(Cl)Cl
ext_314,0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C\3/C[C@@H](O)CCC3=C)/CCC[C@]12C
ext_315,0,CCCCC(CC)COC(=O)C=C
ext_318,0,CCN(Cc1cccc(c1)S(=O)(=O)[O-])c1ccc(cc1)[C+](c1ccc(cc1)N(CC)Cc1cccc(c1)S(=O)(=O)[O-])c1ccccc1S(=O)(=O)[O-]
ext_320,0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
ext_321,0,CCOC(=O)C1OC1(C)c1ccccc1
ext_323,0,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1
ext_326,0,CC(=C)C1CC=C(C)C(O)C1
ext_328,0,CN(C)CCC(c1ccccc1)c1ccccn1
ext_329,0,CCNNCC
ext_330,0,N[C@H](Cc1ccccc1)C(=O)O
ext_331,1,[O-][N+](=O)c1ccc(Nc2ccc(Nc3ccccc3)c(c2)S(=O)(=O)[O-])c(c1)[N+](=O)[O-]
ext_332,0,[O-]S(=O)(=O)c1cc2C=CC(=O)/C(=N\Nc3ccccc3)/c2c(c1)S(=O)(=O)[O-]
ext_333,1,C/C=C/C=O
ext_334,1,[O-]C(=O)/C=C\C(=O)[O-]
ext_336,1,CC1CC(OC(C)O1)OC(=O)C
ext_338,1,COc1cc(OC)c(/C=C\C)cc1OC
ext_339,0,CC(CS)C1CCC(C)C(S)C1
ext_342,1,C=CCOCC1CO1
ext_344,1,O1C2C=CC=CC12
ext_346,0,CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O
ext_347,1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
ext_349,0,CC(O)CO
ext_350,0,BrCC(Br)C1CCC(Br)C(Br)C1
ext_353,0,c1ccc(cc1)/C=C\c1ccccc1
ext_357,0,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(cc2S1(=O)=O)S(=O)(=O)N
ext_358,1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(cn1c23)C(=O)O
ext_359,0,Nc1nc(N)nc(n1)c1ccccc1
ext_361,0,OC(=O)c1ccccn1
ext_363,1,CC(=O)NC[C@H](O)COc1cccc2ccccc12
ext_365,0,OC(=O)C1C(C(=O)O)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl
ext_366,1,CC(=O)Nc1cccc(N)c1
ext_368,0,CC(O)CNCC(C)O
ext_369,1,C1CCC(CC1)[NH2+]C1CCCCC1
ext_370,0,CC([O-])C[N+](C)(C)NC(=O)C(=C)C
ext_372,0,C[C@@H]1[C@@H](OC(=O)/C=C/C=C/c2ccccc2)[C@@]2(OC3(O[C@@H]2[C@@H]2[C@@H]4OC4(CO)[C@@H](O)[C@@]4(O)[C@@H](C=C(C)C4=O)[C@@]12O3)c1ccccc1)C(=C)C
ext_373,0,CCC(O)CN
ext_375,0,CCCCCCCC/C=C\CCCCCCCC(=O)O
ext_376,0,CCC(C(=O)N)(C(=O)N)c1ccccc1
ext_379,0,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC
ext_381,0,CCC(C)N
ext_383,0,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
ext_384,0,CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl
ext_386,0,NC1CCC(CC1)CC1CCC(N)CC1
ext_387,1,BrCC(Br)COC(=O)C=C
ext_388,1,CC(=C)C(=O)OCC(Br)CBr
ext_389,0,CC(C)CC(C)N
ext_390,0,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
ext_391,0,CCCCCCCCC/C=C/CC1CC(=O)OC1=O
ext_392,0,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
ext_393,0,CCCCC(CC)COC(=O)C(=C(c1ccccc1)c1ccccc1)C#N
ext_394,0,NC(Cc1ccc(F)cc1)C(=O)O
ext_395,0,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1
ext_396,0,CCC(O)OC(O)CC
ext_397,0,CC(=CCCC(C)(OC(=O)c1ccccc1N)C=C)C
ext_398,0,CC(C)(N)C1CCC(C)(N)CC1
ext_399,0,CCCCC(CC)COS(=O)(=O)[O-]
ext_402,0,CC(N)CN
ext_404,0,CC(O)CN(CC(C)O)CC(C)O
ext_405,1,Clc1c(Cl)c(Br)c2C3=NC(=Nc4n5[Cu]n6c(=N3)c3c(Cl)c(Br)c(Cl)c(Br)c3c6=NC3=NC(=Nc5c5c(Br)c(Cl)c(Br)c(Cl)c45)c4c(Cl)c(Cl)c(Br)c(Cl)c34)c2c1Cl
ext_406,0,CCCCCCCCCCCCOS(=O)(=O)[O-]
ext_410,0,CC(O)C(=O)C
ext_412,1,CN(C)c1ccc(C)cc1
ext_414,1,C1CC2OC2CC1C1CO1
ext_415,1,CC1(C)CO1
ext_416,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
ext_417,1,CC(O)CBr
ext_418,0,CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1
ext_422,0,CC1(C)CON(Cc2ccccc2Cl)C1=O
ext_428,1,CC(Br)C(=O)O
ext_430,1,CCOC(=O)C1(CCCCCCOCc2sccc2)CO1
ext_433,0,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O
ext_434,1,[O-][N+](=O)c1cc2CCCC(=O)c2c2ccccc12
ext_436,0,Cc1cccc(OCC(O)CNC(C)(C)C)c1C
ext_440,0,CC(=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C)C
ext_441,1,ClC(Cl)(Cl)C1CO1
ext_442,0,CCCCCCCCCCCCCCCCCCCCCCO
ext_444,0,CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
ext_445,0,CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1
ext_448,0,CC(Br)(CBr)CBr
ext_449,0,COC(=O)[C@H]1O[C@H]1c1ccccc1
ext_450,0,O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1
ext_451,0,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@H]2O
ext_452,1,Nc1cccc2cccc(c12)S(=O)(=O)O
ext_456,0,CN(C)c1ccc(cc1)N=Nc1cccnc1
ext_462,0,[O-]C(=O)COc1ccc(Cl)cc1Cl
ext_464,0,Cc1cccn2c(=O)c(cnc12)c1[n-]nnn1
ext_465,1,CN(CC(O)CO)N=O
ext_468,1,Cc1c(cc(NO)cc1[N+](=O)[O-])[N+](=O)[O-]
ext_470,1,Cc1cc(Cl)ccc1N
ext_471,0,CCOC(=O)Nc1cccc2C(CN(C)Cc12)c1ccc(Cl)cc1
ext_472,0,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@@H]3C[C@H]4[C@@H](Cc5c[nH]c6cccc4c56)N(C)C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C
ext_473,0,ClCCCCl
ext_474,0,CC(=O)OC(C)(C)C
ext_475,0,COc1ccc(cc1)C(O)(C1CC1)c1cncnc1
ext_476,0,C(=C\C(=O)[O-])\C(=O)O
ext_478,0,CCCCCCOCCOCCO
ext_480,1,CCN(CC)c1ccc(cc1)N=Nc1c(Cl)cc(cc1[N+](=O)[O-])[N+](=O)[O-]
ext_485,1,CC(=O)Nc1ccc2[nH]c3ccccc3c2c1
ext_491,0,C[N+]1([O-])CCC[C@H]1c1cccnc1
ext_492,1,Cn1c2ccccc2c(=O)c2c(O)cc3OC(Cc3c12)C(C)(O)CCl
ext_493,0,Oc1ccc2cc(cc(c2c1)S(=O)(=O)[O-])S(=O)(=O)[O-]
ext_494,1,Cc1cc(ccc1N=C=O)c1ccc(N=C=O)c(C)c1
ext_495,0,CCC1C(=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc12)C
ext_497,0,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
ext_498,1,s1ccc2c1ccc1ccc3ccccc3c21
ext_500,0,CCCC[N+](=O)[O-]
ext_502,0,CCO[Si](C)(C)OCC
ext_504,0,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
ext_505,0,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
ext_506,1,CC(=O)Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-]
ext_507,1,CC(=O)Nc1cc2c([nH]c3ccccc23)cc1[N+](=O)[O-]
ext_509,0,CC(C)NCC(O)COc1cccc2CC(COc12)O[N+](=O)[O-]
ext_510,1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1
ext_511,1,CC(C)C1CCC(C)CC1=O
ext_514,1,CC(=O)Nc1ccc2c([nH]c3ccccc23)c1
ext_515,1,CCC1(C(=O)NC(=O)[N-]C1=O)c1ccccc1
ext_518,1,Cc1c2ccccc2cc2-c3ccccc3C3NC3c12
ext_520,1,NCC(=O)CCC(=O)O
ext_521,1,NC(=O)c1cccc2cccnc12
ext_522,1,Cn1c2ccccc2c(=O)c2c(O)cc3OC(Cc3c12)C(=C)C
ext_523,0,ClC1=C(Cl)C2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl
ext_528,1,C=CC(=O)N(CC1CO1)CC1CO1
ext_529,0,CC(=O)OCCO
ext_530,0,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1[nH]cnc1)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1[nH]cnc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CO)[C@@H](C)CC)[C@@H](C)O)C(C)C)[C@@H](C)CC)C(=O)O
ext_532,1,CCOC(=O)CC1OCCc2c1[nH]c1c(CC)c(O)ccc21
ext_533,0,ClC1=C(Cl)C2(Cl)[C@H]3COS(=O)OC[C@H]3[C@]1(Cl)C2(Cl)Cl
ext_534,1,OCC1SCCN1N=O
ext_536,1,CC(=O)OCc1c(O)c(C(=O)O)c(C)c2Oc3c(C=O)c(O)cc(C)c3C(=O)Oc12
ext_537,1,OC1=CC=C(O)C2C1C(=O)c1c(O)ccc(O)c1C2=O
ext_538,1,ClCC(Cl)COCC(Cl)CCl
ext_541,1,CCS(=O)(=O)n1ncc(c(Cl)c1=O)Cl
ext_542,0,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(cn1c23)C(=O)O
ext_544,1,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)n1ncc(c(Cl)c1=O)Cl
ext_549,1,CC(C)(C)NC[C@@H](O)COc1ccccc1C1CCCC1
ext_550,0,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OCC(=O)C)C
ext_551,0,NC(=O)CN1CC(O)CC1=O
ext_552,0,CC(C)c1ccccc1O
ext_555,0,CC(O)C(=O)O
ext_558,0,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)C(O[C@@H]2CO)O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
ext_560,0,[NH3+]CCCCCCCCCCCC(=O)[O-]
ext_561,1,CC1(C)C[C@H]2[C@H](O)[C@]3(C)C[C@]3(C=O)C(=C2C1)C=O
ext_562,0,O=C1OCCO1
ext_563,0,CC1C(C)(C)c2cc(C)c(cc2C1(C)C)C(=O)C
ext_565,0,Oc1c(C2CCCc3ccccc23)c(=O)c2ccccc2o1
ext_566,1,[O-][N+](=O)c1ccccc1OS(=O)(=O)c1cccc2cccnc12
ext_567,1,[O-][N+](=O)c1cccc(OS(=O)(=O)c2cccc3cccnc23)c1
ext_568,1,Clc1ccc(OS(=O)(=O)c2cccc3cccnc23)cc1Cl
ext_569,1,Cc1ccc(OS(=O)(=O)c2cccc3cccnc23)c(c1)[N+](=O)[O-]
ext_570,1,CN(C)c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1
